City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,harper,4.375,-7.7169,28.16,68,20,3.98,LR,1733158557
133,shingu,33.7333,135.9833,11.09,88,1,2.46,JP,1733158558
134,san pedro pochutla,15.7333,-96.4667,31.51,45,80,2.01,MX,1733158536
135,santana,-0.0583,-51.1817,32.1,58,75,6.17,BR,1733158560
136,ibanda,0.9268,29.856,18.44,75,87,0.25,CD,1733158561
137,kavaratti,10.5669,72.642,27.58,71,100,7.03,IN,1733158563
138,papatowai,-46.5619,169.4708,13.06,93,100,3.39,NZ,1733158564
139,pangody,65.85,74.4859,-17.19,90,29,5.25,RU,1733158565
140,oulad teima,30.3947,-9.209,26.6,23,15,5.18,MA,1733158566
141,zhigalovo,54.8097,105.1578,-33.38,100,25,0.7,RU,1733158568
142,gimbi,9.1667,35.8333,14.94,75,27,0.64,ET,1733158569
143,patnanungan,14.7833,122.1833,26.38,88,100,6.9,PH,1733158570
144,zaragoza,41.6561,-0.8773,11.25,93,62,2.06,ES,1733158412
145,madison,34.7334,-86.5667,4.32,57,0,1.54,US,1733158291
146,vila franca do campo,37.7167,-25.4333,18.27,99,58,0.98,PT,1733158573
147,luderitz,-26.6481,15.1594,22.23,57,95,14.2,NA,1733158574
148,al artawiyah,26.5053,45.3444,15.11,43,3,5.52,SA,1733158576
149,bilibino,68.0546,166.4372,-17.95,99,100,0.36,RU,1733158577
150,kapuskasing,49.4169,-82.4331,-1.95,93,100,6.69,CA,1733158578
151,razdol'noye,45.7708,33.4878,2.17,89,3,3.98,UA,1733158579
152,utrik,11.2278,169.8474,28.05,73,97,9.88,MH,1733158580
153,ribeira grande,38.5167,-28.7,21.54,77,40,6.17,PT,1733158581
154,tolanaro,-25.0319,46.9987,26.04,78,20,10.29,MG,1733158582
155,kodiak,57.79,-152.4072,1.73,93,100,3.09,US,1733158583
156,waingapu,-9.6567,120.2641,27.99,79,96,1.86,ID,1733158585
157,villa mercedes,-33.6757,-65.4578,22.96,19,1,2.25,AR,1733158586
158,portland,45.5234,-122.6762,4.34,85,69,4.92,US,1733158496
159,yenotayevka,47.2456,47.0281,1.2,64,100,3.28,RU,1733158588
160,fayroz koh,34.5195,65.2509,0.17,59,15,2.57,AF,1733158589
161,anadarko,35.0726,-98.2437,6.91,50,0,3.33,US,1733158590
162,kodinsk,58.6881,99.1844,-14.34,95,100,1.86,RU,1733158591
163,maracacume,-2.0428,-45.9592,32.36,44,80,2.95,BR,1733158592
164,alo,6.5486,4.2686,27.88,68,4,4.86,NG,1733158594
165,mezhdurechenskiy,59.6,65.9333,-2.84,92,100,3.75,RU,1733158595
166,yellowknife,62.456,-114.3525,-19.71,77,75,6.69,CA,1733158537
167,saint-mihiel,48.8875,5.551,10.14,89,100,5.49,FR,1733158597
168,colesberg,-30.72,25.0972,25.87,15,55,4.72,ZA,1733158598
169,weno,7.4515,151.8468,28.8,78,48,4.37,FM,1733158599
170,yuzhno-kurilsk,44.0306,145.8556,6.31,83,99,7.28,RU,1733158600
171,fochville,-26.4886,27.4939,25.85,12,86,2.67,ZA,1733158601
172,ulsteinvik,62.3432,5.8487,2.64,83,99,4.02,NO,1733158603
173,ust-nera,64.5667,143.2,-23.05,100,69,1.39,RU,1733158604
174,aykhal,66.0,111.5,-27.5,78,8,4.39,RU,1733158605
